rank,star,status,status_datetime,officer_id,trr_id
OFFICER,16100.0,,2016-04-19 03:29:00-05:00,22282,96556
SERGEANT,2307.0,,2016-04-19 03:32:00-05:00,6950,96556
LIEUTENANT,310.0,,2016-04-19 04:07:00-05:00,15976,96556
OFFICER,6218.0,,2016-04-19 03:37:00-05:00,27176,96557
SERGEANT,2307.0,,2016-04-19 03:37:00-05:00,6950,96557
LIEUTENANT,310.0,,2016-04-19 04:08:00-05:00,15976,96557
OFFICER,18800.0,,2016-04-19 06:13:00-05:00,1652,96558
SERGEANT,2371.0,,2016-04-19 06:48:00-05:00,29844,96558
LIEUTENANT,663.0,,2016-04-19 07:48:00-05:00,32173,96558
OFFICER,12734.0,,2016-04-19 05:59:00-05:00,22573,96559
SERGEANT,837.0,,2016-04-19 06:10:00-05:00,19614,96559
LIEUTENANT,732.0,,2016-04-19 07:17:00-05:00,12449,96559
OFFICER,19191.0,,2016-04-19 06:08:00-05:00,30009,96560
SERGEANT,837.0,,2016-04-19 06:11:00-05:00,19614,96560
LIEUTENANT,732.0,,2016-04-19 07:18:00-05:00,12449,96560
OFFICER,14321.0,,2016-04-19 06:52:00-05:00,11897,96561
SERGEANT,2371.0,,2016-04-19 06:55:00-05:00,29844,96561
LIEUTENANT,663.0,,2016-04-19 07:51:00-05:00,32173,96561
OFFICER,19737.0,,2016-04-19 09:59:00-05:00,22223,96562
SERGEANT,1135.0,,2016-04-19 10:00:00-05:00,17804,96562
LIEUTENANT,497.0,,2016-04-20 06:02:00-05:00,18055,96562
OFFICER,17140.0,,2016-04-19 09:38:00-05:00,14550,96563
SERGEANT,1135.0,,2016-04-19 09:54:00-05:00,17804,96563
LIEUTENANT,497.0,,2016-04-20 06:00:00-05:00,18055,96563
OFFICER,14620.0,,2016-04-20 01:34:00-05:00,25518,96564
SERGEANT,1400.0,,2016-04-20 01:35:00-05:00,6254,96564
LIEUTENANT,513.0,,2016-04-20 01:57:00-05:00,26182,96564
OFFICER,12531.0,,2016-04-20 02:29:00-05:00,25789,96565
SERGEANT,1864.0,,2016-04-20 03:33:00-05:00,27448,96565
LIEUTENANT,228.0,,2016-04-20 05:11:00-05:00,30520,96565
OFFICER,4611.0,,2016-04-20 02:24:00-05:00,10514,96566
SERGEANT,1864.0,,2016-04-20 02:25:00-05:00,27448,96566
LIEUTENANT,228.0,,2016-04-20 06:14:00-05:00,30520,96566
OFFICER,18529.0,,2016-04-20 02:52:00-05:00,27994,96567
SERGEANT,1864.0,,2016-04-20 02:55:00-05:00,27448,96567
LIEUTENANT,228.0,,2016-04-20 06:18:00-05:00,30520,96567
OFFICER,18255.0,,2016-04-20 02:52:00-05:00,23429,96568
SERGEANT,1864.0,,2016-04-20 02:55:00-05:00,27448,96568
LIEUTENANT,228.0,,2016-04-20 06:18:00-05:00,30520,96568
OFFICER,12313.0,,2016-04-20 01:55:00-05:00,27084,96569
SERGEANT,1864.0,,2016-04-20 02:23:00-05:00,27448,96569
LIEUTENANT,228.0,,2016-04-20 06:15:00-05:00,30520,96569
OFFICER,18968.0,,2016-04-20 02:22:00-05:00,11060,96570
SERGEANT,1864.0,,2016-04-20 02:24:00-05:00,27448,96570
LIEUTENANT,228.0,,2016-04-20 06:15:00-05:00,30520,96570
OFFICER,11522.0,,2016-04-20 02:28:00-05:00,16615,96571
SERGEANT,1864.0,,2016-04-20 02:32:00-05:00,27448,96571
LIEUTENANT,228.0,,2016-04-20 06:14:00-05:00,30520,96571
OFFICER,11522.0,,2016-04-20 02:53:00-05:00,16615,96572
SERGEANT,1864.0,,2016-04-20 02:55:00-05:00,27448,96572
LIEUTENANT,228.0,,2016-04-20 06:17:00-05:00,30520,96572
OFFICER,6285.0,,2016-04-20 03:09:00-05:00,31498,96573
SERGEANT,2105.0,,2016-04-20 03:28:00-05:00,28661,96573
LIEUTENANT,224.0,,2016-04-20 03:32:00-05:00,21473,96573
OFFICER,16512.0,,2016-04-20 02:28:00-05:00,26653,96574
SERGEANT,1864.0,,2016-04-20 03:34:00-05:00,27448,96574
LIEUTENANT,228.0,,2016-04-20 05:10:00-05:00,30520,96574
OFFICER,19191.0,,2016-04-20 10:55:00-05:00,30009,96576
SERGEANT,1111.0,,2016-04-20 10:57:00-05:00,5075,96576
LIEUTENANT,258.0,,2016-04-20 11:04:00-05:00,20818,96576
OFFICER,12734.0,,2016-04-20 06:04:00-05:00,22573,96577
SERGEANT,1111.0,,2016-04-20 07:02:00-05:00,5075,96577
LIEUTENANT,258.0,,2016-04-20 10:20:00-05:00,20818,96577
OFFICER,12822.0,,2016-04-20 08:16:00-05:00,432,96578
SERGEANT,1111.0,,2016-04-20 08:16:00-05:00,5075,96578
LIEUTENANT,258.0,,2016-04-20 10:16:00-05:00,20818,96578
OFFICER,16681.0,,2016-04-20 07:56:00-05:00,21477,96579
SERGEANT,1111.0,,2016-04-20 08:16:00-05:00,5075,96579
LIEUTENANT,258.0,,2016-04-20 10:19:00-05:00,20818,96579
OFFICER,6363.0,,2016-04-20 07:56:00-05:00,31481,96580
SERGEANT,1111.0,,2016-04-20 08:17:00-05:00,5075,96580
LIEUTENANT,258.0,,2016-04-20 10:18:00-05:00,20818,96580
OFFICER,17364.0,,2016-04-20 07:59:00-05:00,2110,96581
SERGEANT,1111.0,,2016-04-20 08:15:00-05:00,5075,96581
LIEUTENANT,258.0,,2016-04-20 10:18:00-05:00,20818,96581
OFFICER,10908.0,,2016-04-20 09:39:00-05:00,18335,96582
SERGEANT,1596.0,,2016-04-20 10:23:00-05:00,10283,96582
LIEUTENANT,414.0,,2016-05-03 06:17:00-05:00,27575,96582
OFFICER,6557.0,,2016-04-21 01:35:00-05:00,11650,96583
SERGEANT,1841.0,,2016-04-21 01:36:00-05:00,9309,96583
LIEUTENANT,667.0,,2016-04-21 02:21:00-05:00,2859,96583
OFFICER,17274.0,,2016-04-21 08:12:00-05:00,8803,96584
SERGEANT,2138.0,,2016-04-21 08:18:00-05:00,19021,96584
LIEUTENANT,376.0,,2016-04-21 08:24:00-05:00,18259,96584
OFFICER,18585.0,,2016-04-21 08:11:00-05:00,22053,96585
SERGEANT,2138.0,,2016-04-21 08:18:00-05:00,19021,96585
LIEUTENANT,376.0,,2016-04-21 08:25:00-05:00,18259,96585
OFFICER,7885.0,,2016-04-21 05:09:00-05:00,19964,96586
SERGEANT,2295.0,,2016-04-21 10:08:00-05:00,8022,96586
LIEUTENANT,192.0,,2016-04-21 11:09:00-05:00,19149,96586
SERGEANT,2295.0,,2016-04-21 07:21:00-05:00,8022,96587
LIEUTENANT,192.0,,2016-04-21 10:32:00-05:00,19149,96587
LIEUTENANT,192.0,,2016-04-21 11:03:00-05:00,19149,96587
OFFICER,6323.0,,2016-04-21 12:38:00-05:00,29166,96588
SERGEANT,2102.0,,2016-04-21 12:41:00-05:00,1366,96588
LIEUTENANT,495.0,,2016-04-21 01:17:00-05:00,1097,96588
OFFICER,5330.0,,2016-04-21 01:08:00-05:00,14896,96589
SERGEANT,1667.0,,2016-04-21 01:26:00-05:00,22195,96589
LIEUTENANT,268.0,,2016-04-21 01:35:00-05:00,30581,96589
OFFICER,4308.0,,2016-04-21 12:56:00-05:00,13217,96590
SERGEANT,2102.0,,2016-04-21 12:58:00-05:00,1366,96590
LIEUTENANT,495.0,,2016-04-21 01:16:00-05:00,1097,96590
OFFICER,14092.0,,2016-04-21 05:43:00-05:00,427,96591
SERGEANT,1550.0,,2016-04-21 05:44:00-05:00,27733,96591
LIEUTENANT,743.0,,2016-04-22 05:52:00-05:00,13911,96591
OFFICER,16126.0,,2016-04-21 07:24:00-05:00,4614,96592
SERGEANT,2600.0,,2016-04-21 07:55:00-05:00,29730,96592
LIEUTENANT,663.0,,2016-04-21 07:59:00-05:00,32173,96592
OFFICER,17090.0,,2016-04-21 07:43:00-05:00,23777,96593
SERGEANT,2295.0,,2016-04-21 07:47:00-05:00,8022,96593
LIEUTENANT,243.0,,2016-04-21 08:44:00-05:00,28612,96593
OFFICER,17584.0,,2016-04-21 08:31:00-05:00,26631,96594
SERGEANT,2295.0,,2016-04-21 08:46:00-05:00,8022,96594
LIEUTENANT,243.0,,2016-04-21 08:48:00-05:00,28612,96594
OFFICER,19054.0,,2016-04-22 12:00:00-05:00,17365,96595
SERGEANT,1228.0,,2016-04-22 12:10:00-05:00,9963,96595
LIEUTENANT,728.0,,2016-04-22 12:47:00-05:00,13336,96595
OFFICER,11507.0,,2016-04-22 12:40:00-05:00,31394,96596
SERGEANT,1228.0,,2016-04-22 12:42:00-05:00,9963,96596
LIEUTENANT,728.0,,2016-04-22 12:46:00-05:00,13336,96596
OFFICER,15363.0,,2016-04-21 11:47:00-05:00,22220,96597
SERGEANT,934.0,,2016-04-21 11:49:00-05:00,6678,96597
LIEUTENANT,617.0,,2016-04-22 12:06:00-05:00,14684,96597
OFFICER,7861.0,,2016-04-21 11:40:00-05:00,497,96598
SERGEANT,934.0,,2016-04-21 11:45:00-05:00,6678,96598
LIEUTENANT,617.0,,2016-04-22 12:09:00-05:00,14684,96598
OFFICER,5463.0,,2016-04-22 03:05:00-05:00,4579,96599
SERGEANT,1142.0,,2016-04-22 03:17:00-05:00,18655,96599
LIEUTENANT,755.0,,2016-04-22 08:12:00-05:00,11215,96599
OFFICER,8468.0,,2016-04-22 06:10:00-05:00,10338,96602
SERGEANT,1382.0,,2016-04-22 06:11:00-05:00,11751,96602
LIEUTENANT,252.0,,2016-04-22 06:30:00-05:00,30554,96602
OFFICER,13488.0,,2016-04-22 06:08:00-05:00,11089,96603
SERGEANT,1382.0,,2016-04-22 06:12:00-05:00,11751,96603
LIEUTENANT,252.0,,2016-04-22 06:31:00-05:00,30554,96603
SERGEANT,1382.0,,2016-04-22 06:05:00-05:00,11751,96604
LIEUTENANT,252.0,,2016-04-22 06:31:00-05:00,30554,96604
LIEUTENANT,252.0,,2016-04-22 06:32:00-05:00,30554,96604
OFFICER,11790.0,,2016-04-22 02:57:00-05:00,7939,96608
SERGEANT,1969.0,,2016-04-22 02:57:00-05:00,25772,96608
LIEUTENANT,339.0,,2016-04-22 03:27:00-05:00,27614,96608
OFFICER,19975.0,,2016-04-22 04:39:00-05:00,1989,96612
SERGEANT,1366.0,,2016-04-22 07:22:00-05:00,16124,96612
LIEUTENANT,534.0,,2016-04-23 09:57:00-05:00,28060,96612
OFFICER,6964.0,,2016-04-22 04:40:00-05:00,21596,96613
